Date,Open,High,Low,Close,Volume
2023-12-27,76.28,76.45,75.41,76.11,14693227.0
2023-12-28,77.23,77.79,76.98,77.24,18937893.0
2023-12-29,77.06,77.635,76.82,77.51,14094635.0
2024-01-02,76.05,76.075,74.51,74.76,21739596.0
2024-01-03,74.33,76.69,74.07,76.59,24444642.0
2024-01-04,75.56,75.725,74.4403,74.66,18454887.0
2024-01-05,74.0,74.0,72.86,73.01,21474709.0
2024-01-08,71.25,73.06,70.92,72.88,21999986.0
2024-01-09,71.25,72.12,70.96,72.02,21451778.0
2024-01-10,71.38,71.775,71.045,71.41,19540004.0
2024-01-11,72.545,73.13,71.53,72.38,18095272.0
2024-01-12,72.59,73.43,71.81,71.84,16147285.0
2024-01-16,70.13,70.531,69.3,69.46,27606901.0
2024-01-17,67.72,69.0,67.26,68.93,22684440.0
2024-01-18,68.6,69.08,68.0,68.05,19306968.0
2024-01-19,67.2,69.905,66.92,69.42,34547701.0
2024-01-22,67.28,68.7381,66.63,68.63,27294183.0
2024-01-23,72.755,74.5,72.55,74.02,53017674.0
2024-01-24,75.285,75.62,74.22,75.2,35948619.0
2024-01-25,75.19,75.5,73.56,73.85,23268568.0
2024-01-26,73.1,74.72,72.92,74.01,19418234.0
2024-01-29,74.67,74.81,72.83,73.58,17537439.0
2024-01-30,72.46,73.065,72.085,72.32,17089647.0
2024-01-31,71.495,72.94,71.495,72.17,15743608.0
2024-02-01,73.155,73.47,72.12,72.46,14445829.0
2024-02-02,72.13,72.23,71.05,71.85,18824232.0
2024-02-05,72.17,75.15,71.86,74.63,27721028.0
2024-02-06,77.045,78.34,75.73,78.23,39361024.0
2024-02-07,74.555,76.17,73.15,73.64,53766279.0
2024-02-08,71.885,73.2,70.65,70.78,33070577.0
2024-02-09,70.8,72.085,70.0,72.02,18998382.0
2024-02-12,72.31,74.13,72.31,73.14,18151149.0
2024-02-13,71.96,73.03,71.42,71.6,13560582.0
2024-02-14,72.31,73.41,72.23,73.39,12817470.0
2024-02-15,73.22,74.14,73.0846,73.82,12078127.0
2024-02-16,74.86,75.37,73.9,73.91,16393336.0
2024-02-20,73.46,73.67,72.18,73.14,14353321.0
2024-02-21,74.48,76.39,74.07,75.58,23533800.0
2024-02-22,75.1,76.38,75.0,76.12,14836613.0
2024-02-23,76.48,76.935,75.15,75.96,12301721.0
2024-02-26,75.62,76.57,75.34,76.51,13973149.0
2024-02-27,77.53,78.05,77.25,77.68,14490200.0
2024-02-28,76.02,76.18,74.45,74.59,16905340.0
2024-02-29,74.68,75.04,73.8,74.03,12549172.0
2024-03-01,74.48,75.09,74.37,74.62,11980147.0
2024-03-04,73.73,73.73,71.7,72.0,19550071.0
2024-03-05,71.25,72.71,71.04,72.07,15804478.0
2024-03-06,74.2,74.72,73.61,73.71,19785292.0
2024-03-07,72.6,72.7575,71.76,72.54,12374675.0
2024-03-08,72.81,73.76,72.76,73.55,16430409.0
2024-03-11,74.63,76.06,74.55,74.86,13278638.0
2024-03-12,75.87,76.48,75.215,76.06,13070023.0
2024-03-13,75.94,77.45,75.94,76.39,14529115.0
2024-03-14,75.235,75.39,73.23,73.4,18073723.0
2024-03-15,73.575,74.13,73.39,73.42,10233671.0
2024-03-18,73.42,74.02,73.33,73.52,8542538.0
2024-03-19,73.08,73.735,72.85,73.42,8164247.0
2024-03-20,73.55,74.33,73.3,74.18,11123241.0
2024-03-21,74.3,74.74,73.77,73.83,11860655.0
2024-03-22,72.48,72.62,72.04,72.13,12771525.0
2024-03-25,71.94,72.49,71.36,71.46,12422139.0
2024-03-26,71.84,71.87,71.09,71.48,10881917.0
2024-03-27,70.89,71.69,70.5825,71.59,13281277.0
2024-03-28,72.08,72.59,72.055,72.36,14073414.0
2024-04-01,73.24,73.582,72.81,73.37,14173803.0
2024-04-02,72.57,73.14,72.51,72.88,15142198.0
2024-04-03,72.42,72.87,72.11,72.44,10975413.0
2024-04-04,72.98,73.23,71.9,71.95,10931130.0
2024-04-05,71.68,72.025,71.41,71.66,10763002.0
2024-04-08,71.96,72.39,71.56,71.71,10420435.0
2024-04-09,72.37,73.24,72.31,72.99,13795525.0
2024-04-10,74.445,75.17,73.74,74.59,20572164.0
2024-04-11,75.215,75.43,74.37,74.85,14986818.0
2024-04-12,72.94,72.98,71.29,71.29,18231428.0
2024-04-15,71.73,72.05,70.17,70.62,15903893.0
2024-04-16,70.02,70.3074,69.29,69.61,17478883.0
2024-04-17,69.71,70.01,68.725,68.82,12760587.0
2024-04-18,69.09,69.625,68.8,68.88,9491021.0
2024-04-19,68.42,69.15,68.36,69.07,13084098.0
2024-04-22,69.695,70.9,69.12,70.68,15015564.0
2024-04-23,71.08,72.8,70.99,72.51,15268166.0
2024-04-24,73.74,74.7,73.5,74.63,16375157.0
2024-04-25,73.805,75.2,73.805,75.11,11921914.0
2024-04-26,76.185,76.93,75.06,75.55,14216073.0
2024-04-29,75.65,76.53,75.22,76.41,13226204.0
2024-04-30,75.89,76.29,74.48,74.85,12855978.0
2024-05-01,74.99,76.25,74.87,75.51,10568660.0
2024-05-02,77.59,81.415,77.16,80.33,36663857.0
2024-05-03,81.27,81.37,79.7,81.33,19355807.0
2024-05-06,81.755,82.22,80.5,81.55,11826084.0
2024-05-07,79.93,79.93,78.815,79.37,14589103.0
2024-05-08,77.92,78.99,77.81,78.46,11327088.0
2024-05-09,79.5,79.92,78.71,79.46,9627274.0
2024-05-10,80.08,80.52,79.77,80.04,10819572.0
2024-05-13,82.71,85.0,82.6,84.6,32010693.0
2024-05-14,79.65,80.51,77.72,79.51,44687713.0
2024-05-15,80.39,81.13,79.78,80.99,17803260.0
2024-05-16,81.96,87.49,81.646,86.7,47259474.0
2024-05-17,87.6,90.46,86.83,88.54,35152879.0
2024-05-20,87.47,89.24,86.95,88.28,16737222.0
2024-05-21,86.52,87.17,85.32,86.13,16512390.0
2024-05-22,84.61,85.13,82.68,82.68,19717820.0
2024-05-23,81.43,82.94,80.05,80.8,23930255.0
2024-05-24,80.5,82.56,79.73,81.26,41456371.0
2024-05-28,80.8,81.72,80.04,80.58,15211752.0
2024-05-29,78.76,79.36,78.23,79.06,18448528.0
2024-05-30,78.865,80.2,78.7,79.63,13895740.0
2024-05-31,77.96,78.4999,77.17,78.34,20023892.0
2024-06-03,79.0,79.32,77.22,77.9,14244431.0
2024-06-04,78.18,78.857,77.775,78.45,10784382.0
2024-06-05,78.98,79.935,78.86,79.83,13716208.0
2024-06-06,79.42,80.055,78.76,80.01,11205277.0
2024-06-07,78.95,79.32,78.135,78.41,12190292.0
2024-06-10,78.57,79.74,78.24,79.3,9490137.0
2024-06-11,79.0,79.08,77.67,77.9,11108400.0
2024-06-12,78.75,78.79,77.64,78.04,12069553.0
2024-06-13,76.5,76.99,75.49,75.68,14026743.0
2024-06-14,74.21,74.29,73.26,73.35,18282714.0
2024-06-17,74.025,75.08,73.83,74.55,13466287.0
2024-06-18,74.085,75.1,73.85,74.46,10305285.0
2024-06-20,74.57,75.2493,74.03,74.35,9709377.0
2024-06-21,73.79,74.6499,73.67,73.67,10410815.0
2024-06-24,74.12,75.935,74.12,74.79,20134412.0
2024-06-25,74.5,74.76,73.6101,73.79,16986435.0
2024-06-26,73.925,74.35,73.67,74.17,7010071.0
2024-06-27,73.46,73.55,72.35,72.37,11865132.0
2024-06-28,72.37,72.555,71.8,72.0,10334974.0
2024-07-01,72.51,73.02,72.02,72.18,9034233.0
2024-07-02,72.32,73.7767,71.97,73.68,13419140.0
2024-07-03,74.18,75.805,74.18,75.57,11768517.0
2024-07-05,74.67,74.715,73.61,74.52,14928681.0
2024-07-08,73.61,73.71,72.95,73.5,10919434.0
2024-07-09,74.01,76.06,73.97,75.7,14516557.0
2024-07-10,75.28,76.655,75.25,76.01,12235165.0
2024-07-11,77.66,78.83,77.4224,78.52,18896930.0
2024-07-12,80.3,81.01,79.425,79.65,14857248.0
2024-07-15,78.09,78.6,77.45,78.01,12614928.0
2024-07-16,77.29,78.58,76.98,78.38,12304469.0
2024-07-17,77.86,77.95,76.49,77.04,10815545.0
2024-07-18,77.36,78.32,76.3649,76.54,11108627.0
2024-07-19,75.66,76.045,75.18,75.27,7557264.0
2024-07-22,76.83,77.19,76.26,76.64,9166842.0
2024-07-23,75.675,76.32,75.44,76.1,7997090.0
2024-07-24,76.15,77.06,75.72,75.8,7924719.0
2024-07-25,75.37,76.215,75.13,75.4,8172638.0
2024-07-26,75.26,76.77,74.55,76.53,10884540.0
2024-07-29,78.46,79.4,78.205,78.62,17364101.0
2024-07-30,78.22,78.79,77.7,78.0,8431939.0
2024-07-31,79.33,80.015,78.34,78.85,12178625.0
2024-08-01,78.77,79.36,77.84,77.98,8559620.0
2024-08-02,76.79,77.47,75.765,77.45,10808670.0
2024-08-05,74.03,77.255,73.87,76.98,16143255.0
2024-08-06,76.51,78.85,76.51,77.9,12128907.0
2024-08-07,78.92,78.94,77.46,77.83,9693911.0
2024-08-08,78.85,80.31,78.75,80.31,14004330.0
2024-08-09,79.97,80.22,79.195,79.99,7755860.0
2024-08-12,80.59,81.5,80.23,80.91,12127711.0
2024-08-13,80.965,81.4,80.68,81.1,9365727.0
2024-08-14,80.55,80.98,78.07,79.47,18058094.0
2024-08-15,77.9,81.88,77.74,79.54,31619351.0
